,CONCESIONARIO,EMPRESA,GRUPO,INGRESOS_TOTAL_E
153,"TELECABLE DE MERIDA, S.A. DE C.V.",TELECABLE MERIDA,TELECABLE MERIDA,57912579.93000001
127,ROBERTO ANTONIO MALDONADO GUTIERREZ,RAVS CABLE,RAVS CABLE,56882777.339999996
186,"VASANTA COMUNICACIONES, S.A.P.I. DE C.V.",VASANTA,VASANTA,54810014.39
40,"COMUNICACION B15, S.A. DE C.V.",COMUNICACION B15,COMUNICACION B15,48592969.18
133,"SIERRA MADRE INTERNET, S.A. DE C.V.",SIERRA MADRE,SIERRA MADRE TELECOM,43442489.730000004
32,"CELMAX MOVIL, S.A. DE C.V.",YOBI TELECOM,YOBI TELECOM,43316604.87
46,"COORDINADORA DE TV POR CABLE, S.A. DE C.V.",COORDINADORA DE TV POR CABLE,TELECABLE,41293042.0
125,"RBA CATV, S.A. DE C.V.",RBACATV,RBACATV,41185567.12
39,"COMRELOADED, S.A.P.I. DE C.V.",WEEX,WEEX,33446465.01
16,"BBG COMUNICACION, S.A. DE C.V.",BBG COMUNICACION,BBG COMUNICACION,30996417.97
129,SARA QUIROZ CHAPA,SARA QUIROZ CHAPA,SARA QUIROZ CHAPA,30681112.21
175,"TELEVISION POR CABLE DE TAMAZULA, S.A. DE C.V.",SCT,SCT,28663065.78
8,"ALESTRA SERVICIOS MOVILES, S.A. DE C.V.",ALESTRA,ALESTRA,27463169.380000003
45,"COORDINADORA DE CARRIER´S, S.A. DE C.V.",CCA,CCA,25732892.4
167,"TELESISTEMAS DIGITALES DE MEXICO, S.A. DE C.V.",LINK TE CONECTAMOS,LINK TE CONECTAMOS,24273600.39
28,"CABLEVISION DE APATZINGAN, S.A. DE C.V.",CABLEVISION DE APATZINGAN,CABLEVISION DE APATZINGAN,22951649.17
104,MARCO ANTONIO ROSALES HERRERA,MARCO ANTONIO ROSALES HERRERA,MARCO ANTONIO ROSALES HERRERA,22882396.869999997
113,"NEXT TELEKOM, S.A.P.I. DE C.V.",NEXT TELEKOM,NEXT TELEKOM,22415416.380000003
135,"SIHI MEXICO, S. DE R.L. DE C.V.",SIHI MEXICO,SIHI MEXICO,22376787.31
154,"TELECABLE DE RIOVERDE, S.A. DE C.V.",CABLE RV,TELECABLE DE RIOVERDE,21243686.0
159,"TELECABLE DE XALTIANGUIS, S.A. DE C.V.",TELECABLE DE XALTIANGUIS,TELECABLE DE XALTIANGUIS,20978416.0
161,"TELECOM NACIONAL, S. DE R.L. DE C.V.",TELECOM NACIONAL,TELECOM NACIONAL,20575592.0
97,"LAREDONET, S.A. DE C.V.",LAREDONET,LAREDONET,20058416.810000002
155,"TELECABLE DE TAMAYO, S.A. DE C.V.",TELECABLE DE TAMAYO,TELECABLE DE TAMAYO,19635213.8
55,"DIVERSICABLE, S.A. DE C.V.",DIVERSICABLE,DIVERSICABLE,19355995.64
141,"SPACENET COMMUNICATIONS SERVICES DE MEXICO, S.A. DE C.V.",SPACENET,SPACENET,16624931.0
19,"CABLE DEL VALLE DE TOLUCA, S.A. DE C.V.",CABLE DEL VALLE DE TOLUCA,CABLE DEL VALLE DE TOLUCA,16624450.52
169,"TELESISTEMAS POTOSINOS, S.A. DE C.V.",LINK TE CONECTAMOS,LINK TE CONECTAMOS,15499108.95
184,"USA TELECOM, S. DE R.L. DE C.V.",USA TELECOM,USA TELECOM,14530785.0
189,"VISUALES Y COMUNICACIONES, S.A. DE C.V.",SUPERCOM,SUPERCOM,14324655.059999999
172,"TELEVISION DE PEDRO ESCOBEDO, S.A. DE C.V.",TELEVISION DE PEDRO ESCOBEDO,TELEVISION DE PEDRO ESCOBEDO,13957520.0
5,"AIRE CABLE, S.A. DE C.V.",AIRECABLE,AIRECABLE,13327321.14
118,"OPERADORA TELEFONICA PENINSULAR, S.A.P.I. DE C.V.",OPERADORA TELEFONICA PENINSULAR,OPERADORA TELEFONICA PENINSULAR,13240100.65
107,"MAXICABLE DE MEXICO, S.A. DE C.V.",MAXICABLE,MAXICABLE,13182166.34
36,"COMCAB, S.A. DE C.V.",COMCAB,COMCAB,12929306.0
76,"GURUCOMM, S.A.P.I. DE C.V.",GURUCOMM,GURUCOMM,12923384.75
26,"CABLEPLAY TELECOMUNICACIONES, S.A. DE C.V.",CABLEPLAY,CABLEPLAY,12430338.43
33,"CELMEX INNOVA, S.A.P.I. DE C.V.",SIMPATI,SIMPATI,12345586.21
50,"COSMORED PUERTO VALLARTA, S.A. DE C.V.",COSMORED PUERTO VALLARTA,COSMORED,11930828.0
111,"MUCHOS MEGAS, S.A. DE C.V.",MUCHOS MEGAS,MUCHOS MEGAS,11666600.7
98,"LOGICA INDUSTRIAL, S.A. DE C.V.",LOGITEL,LOGITEL,11100067.82
20,"CABLE DIVERSION, S.A. DE C.V.",CABLE DIVERSION,CABLE DIVERSION,10964574.06
27,"CABLEREGION, S.A. DE C.V.",OTROS,OTROS,10625579.42
163,"TELECOMUNICACIONES DE CERRITOS, S.A. DE C.V.",TELECOMUNICACIONES DE CERRITOS,TELECOMUNICACIONES DE CERRITOS,9344133.0
49,"COSMORED NUEVO VALLARTA, S.A. DE C.V.",COSMORED,COSMORED,8603178.0
181,"TV OJO CALIENTE, S.A. DE C.V.",TV OJO CALIENTE,TV OJO CALIENTE,8419766.99
